,Eid,gene
0,ENSG00000165060,FXN
1,ENSG00000115419,GLS
2,ENSG00000109756,RAPGEF2
3,ENSG00000130711,PRDM12
4,ENSG00000100836,PABPN1
5,ENSG00000173406,DAB1
6,ENSG00000104936,DMPK
7,ENSG00000169714,CNBP
8,ENSG00000066427,ATXN3
9,ENSG00000286219,NOTCH2NLC
10,ENSG00000184058,TBX1
11,ENSG00000166546,BEAN1
12,ENSG00000124788,ATXN1
13,ENSG00000197386,HTT
14,ENSG00000035928,RFC1
15,ENSG00000154118,JPH3
16,ENSG00000109132,PHOX2B
17,ENSG00000141837,CACNA1A
18,ENSG00000130638,ATXN10
19,ENSG00000147894,C9orf72
20,ENSG00000066084,DIP2B
21,ENSG00000179403,VWA1
22,ENSG00000177570,SAMD12
23,ENSG00000198947,DMD
24,ENSG00000196628,TCF4
25,ENSG00000128714,HOXD13
26,ENSG00000147650,LRP12
27,ENSG00000101361,NOP56
28,ENSG00000145495,MARCHF6
29,ENSG00000204842,ATXN2
30,ENSG00000160213,CSTB
31,ENSG00000183770,FOXL2
32,ENSG00000106031,HOXA13
33,ENSG00000043355,ZIC2
34,ENSG00000171867,PRNP
35,ENSG00000105664,COMP
36,ENSG00000141543,EIF4A3
37,ENSG00000090905,TNRC6A
38,ENSG00000163872,YEATS2
39,ENSG00000102081,FMR1
40,ENSG00000156925,ZIC3
41,ENSG00000169083,AR
42,ENSG00000111676,ATN1
43,ENSG00000112592,TBP
44,ENSG00000156475,PPP2R2B
45,ENSG00000103489,XYLT1
46,ENSG00000134595,SOX3
47,ENSG00000155966,AFF2
48,ENSG00000124813,RUNX2
49,ENSG00000163635,ATXN7
50,ENSG00000170113,NIPA1
51,ENSG00000110395,CBL
52,ENSG00000084090,STARD7
53,ENSG00000004848,ARX
54,ENSG00000123159,GIPC1
